Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:36:50;05.11.2022 9:36:55;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:37:34;05.11.2022 9:37:37;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:37:52;05.11.2022 9:37:55;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:38:08;05.11.2022 9:38:23;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:48:55;05.11.2022 9:49:08;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:49:32;05.11.2022 9:50:17;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 9:52:43;05.11.2022 9:53:04;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 10:07:58;05.11.2022 10:08:23;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 10:16:36;05.11.2022 10:17:05;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 10:17:12;05.11.2022 10:29:03;2;1;3Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 10:46:02;05.11.2022 10:46:37;2;118;120Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 10:46:45;05.11.2022 10:46:51;2;118;120Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 10:49:41;05.11.2022 10:50:36;2;118;120Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 11:00:15;05.11.2022 11:06:22;2;118;120Авторизация;Выход;Добавлено;Удалено;Всего затронуто
05.11.2022 11:13:33;05.11.2022 11:14:20;3;120;123